,A0101,A0102,A0105,A0107,A0108,A0109,G0401,G0402,G0403,G0404,G0405,G0406,G0407,G0408,G0409,G0410,G0411
1104,5,5,2,1,5,4,5,1,2,5,2,1,1,5,1,5,1
1105,5,5,3,1,5,5,5,1,2,5,1,1,1,4,1,5,1
1106,4,4,3,2,5,5,3,1,2,4,2,1,1,5,2,5,1
1201,5,5,1,1,5,5,5,1,1,5,1,1,1,5,1,5,1
1202,5,5,1,1,5,5,5,1,1,5,2,1,1,5,1,5,1
1204,5,5,2,5,5,5,5,1,2,4,3,1,1,5,1,5,1
1205,5,5,3,1,4,5,5,1,1,5,2,1,1,5,1,5,1
1206,5,5,2,1,5,5,5,1,1,5,1,1,1,4,1,5,1
2102,5,5,3,1,5,5,5,1,3,5,3,1,1,5,1,5,1
2104,5,5,3,1,5,5,4,2,1,4,2,2,2,4,2,4,2
2105,5,5,1,1,5,5,5,1,1,5,1,1,1,5,1,5,1
2107,4,4,2,2,5,3,4,3,4,3,4,4,4,2,1,3,4
2109,5,5,3,1,5,5,5,1,3,3,1,1,1,5,1,5,1
2110,5,5,3,1,4,4,4,2,2,5,3,2,2,4,2,4,2
2111,5,5,5,2,5,3,5,2,1,4,3,3,2,5,1,5,3
2113,5,5,2,1,5,5,5,1,1,4,2,1,1,5,1,5,1
2114,5,5,3,1,5,5,5,1,1,4,2,2,1,5,1,5,1
2115,5,5,2,1,5,5,5,1,1,3,1,1,1,5,2,5,2
2117,5,5,1,1,5,5,5,1,3,4,2,2,2,4,2,4,2
2118,5,5,3,5,5,5,5,1,1,5,3,1,1,5,1,5,1
2119,5,5,4,2,4,5,5,1,2,4,2,2,2,5,1,5,1
3101,3,3,3,3,3,3,2,4,4,3,5,5,3,2,3,3,4
3102,5,5,3,3,3,4,2,2,2,4,3,3,2,4,1,4,3
3104,4,4,4,2,4,3,3,4,3,3,3,5,3,3,3,3,3
3105,4,3,3,2,4,4,2,3,4,4,3,4,5,3,3,3,4
3107,5,5,3,4,3,4,5,3,2,5,5,4,2,3,2,4,3
3109,5,5,3,4,5,5,4,2,3,3,4,3,3,2,2,4,3
3202,4,4,3,2,4,3,2,4,3,4,3,2,4,1,1,3,2
3204,5,5,2,1,4,4,5,1,1,5,3,1,1,5,1,5,1
3206,4,4,4,3,4,4,4,4,2,2,3,5,3,5,2,2,4
3208,5,5,3,1,5,5,5,1,2,5,2,1,5,2,1,5,2
3210,5,4,5,1,4,4,4,4,3,3,5,3,3,2,4,2,2
3212,5,5,4,2,5,5,4,2,2,5,4,1,2,5,1,5,1
3213,5,5,4,2,3,4,3,2,2,4,4,2,1,3,1,5,2
3214,5,5,3,1,5,5,5,1,1,4,3,1,5,5,1,2,1
3215,5,5,5,3,4,4,4,2,3,2,2,4,3,2,4,4,2
3216,5,5,4,3,4,4,4,2,2,4,2,3,3,2,2,4,2
3219,5,5,3,1,4,4,5,1,3,3,4,2,2,4,3,4,1
3301,5,5,3,1,4,5,5,1,1,5,1,1,1,5,1,5,1
3302,5,5,3,1,5,5,5,1,3,5,3,1,1,5,2,5,1
3303,5,5,2,1,4,4,5,1,2,4,2,1,3,4,1,5,1
4102,5,5,1,1,4,4,5,1,1,5,1,1,1,5,1,5,1
4105,5,5,3,1,1,1,5,1,1,5,1,1,1,5,1,5,1
4106,5,5,4,1,5,5,5,1,1,5,3,1,1,5,1,5,1
4109,5,5,3,1,4,4,5,1,1,5,2,1,1,5,1,5,1
4111,5,5,3,1,5,3,5,1,1,4,3,2,1,5,3,3,1
4112,5,5,2,1,4,4,5,1,1,4,2,4,1,5,1,5,1
4113,5,5,3,1,5,5,5,1,2,5,3,1,1,5,1,5,1
